단어,점수
국산,5
구조도,5
투입,5
지원이,5
농협,5
해양,5
법령,5
중국산,5
자립,5
축산,5
신안,5
무안,5
수산,5
중앙정부,5
수입,5
현안,5
영암군,5
부족,5
구제역,5
변명,5
비축,5
전량,5
도마,5
지방정부,5
형식,5
방역,5
양양,5
속보,5
임기,5
성적,5
물건,5
수수,5
총괄,5
김종헌,5
추징,5
이수,5
군민,5
실망,5
구속기소,5
반성,5
박탈,5
군정,5
만남,5
군법무관,5
차정현,5
주니어,5
레즈,5
로버츠,5
마일,5
고의,5
원래,5
초동,5
샘,5
대령,5
개시,5
사령관,5
시도,5
절차,5
취하,5
불응,5
박정훈,5
질문,5
상관,5
상급,5
서초동,5
심판,5
데이브,5
판하,5
휘선,5
기안,5
약칭,5
예능,5
기류,5
제지,5
휴식일,5
리틀,5
파드리스,5
쇼헤이,5
맞혔던,5
실트,5
날인,5
워싱턴,5
라운드,5
경감,5
이의,5
사구,5
빈볼,5
티스,5
로베르,5
누군가,5
잭,5
내셔널스,5
쪽,5
메이저리그,5
페르난도,5
처분,5
마이크,5
붉힌다,5
화제,5
장애,5
파격,5
몰래,5
쓰레기,5
단돈,5
흥미,5
숯불,5
귀,5
주하,5
부쩍,5
호기심,5
염탐,5
지난주,5
더미,5
밀고,5
미소,5
결성,5
밤,5
엠티,5
슬금슬금,5
웃음소리,5
동심,5
숯,5
금요일,5
바비큐,5
선천,5
쫑긋,5
박나래,5
과연,5
예,5
플랜,5
알리,5
첨부,5
